City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,harstad,68.799,16.5293,1.2,93,100,3.13,NO,1741065146
224,masterton,-40.9597,175.6575,13.58,96,100,4.14,NZ,1741065147
225,fort william,56.8165,-5.1121,9.06,93,100,4.46,GB,1741065148
226,tomatlan,19.9333,-105.25,17.41,82,41,0.8,MX,1741065149
227,dabizhuang,39.1931,117.2558,7.0,21,0,1.0,CN,1741065150
228,la sarre,48.8002,-79.1996,-2.53,92,99,5.4,CA,1741065026
229,middelburg,-25.7751,29.4648,17.45,85,25,0.48,ZA,1741065152
230,feodosiya,45.0333,35.3833,2.45,64,20,2.19,UA,1741065153
231,vikulovo,56.8167,70.6107,-6.46,85,100,3.97,RU,1741065154
232,dubbo,-32.25,148.6167,32.07,35,75,6.17,AU,1741065156
233,mao,39.8885,4.2658,14.31,88,75,6.17,ES,1741065157
234,saint-joseph,-21.3667,55.6167,29.21,70,16,3.08,RE,1741065158
235,viqueque,-8.8673,126.3658,32.43,53,49,3.96,TL,1741065159
236,puerto santa,-8.9906,-78.6456,23.65,83,100,3.54,PE,1741065160
237,baiyin,36.5583,104.2081,4.77,41,1,0.89,CN,1741065161
238,bardai,11.65,7.2333,22.85,24,77,4.18,NG,1741065162
239,taulaga,-11.0553,-171.0883,28.16,73,80,4.45,AS,1741065163
240,marianna,30.7744,-85.2269,8.02,61,0,2.57,US,1741065164
241,serdobsk,52.4586,44.2169,-2.31,95,100,5.48,RU,1741065166
242,kirsanov,52.6549,42.7224,-1.23,98,100,5.61,RU,1741065167
243,champerico,14.3,-91.9167,27.0,71,0,3.2,GT,1741065168
244,hegang,47.4,130.3667,-7.23,73,44,3.13,CN,1741065169
245,nuku'alofa,-21.1333,-175.2,26.46,80,8,7.75,TO,1741064939
246,boden,65.8252,21.6886,0.11,72,100,5.1,SE,1741065171
247,kalengwa,-13.4659,25.0027,17.1,98,100,1.23,ZM,1741065172
248,gwanda,-20.9333,29.0,18.93,87,90,2.8,ZW,1741065173
249,lospalos,-8.5186,127.0025,28.9,60,84,4.22,TL,1741065175
250,kattivakkam,13.2167,80.3167,31.75,52,73,2.68,IN,1741065152
